Date,Price,Open,High,Low,Vol.,Change %
04/18/2022,"1,668.06","1,669.09","1,675.95","1,665.25",18.48B,-0.38%
04/12/2022,"1,674.34","1,673.72","1,678.44","1,669.36",19.13B,-0.25%
04/11/2022,"1,678.46","1,683.45","1,685.95","1,675.95",22.08B,-0.45%
04/08/2022,"1,686.00","1,684.66","1,690.58","1,678.07",24.66B,0.21%
04/07/2022,"1,682.41","1,693.46","1,694.23","1,674.81",26.97B,-1.10%
04/05/2022,"1,701.18","1,705.86","1,708.89","1,698.33",20.07B,-0.10%
04/04/2022,"1,702.93","1,704.64","1,706.77","1,699.82",23.36B,0.10%
04/01/2022,"1,701.31","1,693.67","1,701.99","1,690.70",23.98B,0.36%
03/31/2022,"1,695.24","1,698.80","1,701.95","1,693.16",24.39B,-0.19%
03/30/2022,"1,698.40","1,694.84","1,702.67","1,692.73",30.46B,0.51%
03/29/2022,"1,689.74","1,688.52","1,692.90","1,686.84",25.42B,0.32%
03/28/2022,"1,684.30","1,678.13","1,687.20","1,676.75",21.91B,0.45%
03/25/2022,"1,676.80","1,683.67","1,685.41","1,674.12",24.32B,-0.24%
03/24/2022,"1,680.89","1,677.52","1,685.12","1,675.19",24.81B,0.18%
03/23/2022,"1,677.95","1,684.03","1,686.14","1,676.88",24.14B,0.00%
03/22/2022,"1,677.87","1,672.99","1,680.00","1,670.55",27.10B,0.24%
03/21/2022,"1,673.87","1,683.69","1,685.78","1,671.08",25.86B,-0.28%
